Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
77,Troy Brown Jr.\browntr01,SF,21,WAS,21,287,6.4,.471,.517,.169,4.1,18.4,11.3,8.6,0.5,1.2,14.3,16.2,,-0.3,0.2,-0.1,-0.009,,-3.7,-2.0,-5.7,-0.3
77,Troy Brown Jr.\browntr01,SF,21,CHI,13,237,11.2,.616,.436,.109,4.3,16.3,10.4,5.6,1.4,0.7,8.0,11.4,,0.3,0.2,0.5,.104,,-2.7,0.2,-2.5,0.0
78,Jalen Brunson\brunsja01,PG,24,DAL,60,1513,16.7,.611,.316,.250,2.0,13.3,7.7,20.6,1.0,0.0,10.5,20.0,,3.3,1.0,4.3,.136,,1.2,-1.0,0.2,0.8
79,Thomas Bryant\bryanth01,C,23,WAS,10,271,18.8,.704,.231,.264,7.1,16.8,12.0,8.3,0.7,2.5,9.8,17.3,,0.7,0.2,1.0,.172,,2.1,-1.7,0.4,0.2
80,Reggie Bullock\bullore01,SF,29,NYK,57,1649,11.1,.607,.706,.088,0.9,11.7,6.3,7.4,1.3,0.5,7.3,14.3,,2.0,1.9,3.9,.114,,-0.8,0.6,-0.2,0.8
81,Trey Burke\burketr01,PG,28,DAL,54,807,13.4,.561,.463,.158,0.8,5.4,3.1,13.7,2.1,0.6,8.3,19.9,,0.8,0.6,1.4,.084,,-0.8,-0.3,-1.1,0.2
82,Alec Burks\burksal01,SG,29,NYK,44,1134,14.6,.561,.491,.250,1.8,17.1,9.5,12.9,1.3,1.0,8.2,21.0,,1.4,1.6,3.0,.126,,0.5,0.3,0.8,0.8
83,Jimmy Butler\butleji01,SF,31,MIA,48,1622,26.4,.601,.135,.557,6.2,17.1,11.7,35.9,3.1,1.2,10.5,26.7,,5.9,2.6,8.5,.253,,4.9,2.5,7.4,3.9
84,Bruno Caboclo\cabocbr01,PF,25,HOU,6,36,9.1,.475,.294,.118,8.5,33.9,20.7,4.7,0.0,5.0,18.3,25.9,,-0.1,0.0,-0.1,-0.082,,-8.5,-2.1,-10.6,-0.1
85,Devontae Cacok\cacokde01,PF,24,LAL,18,90,18.5,.614,.000,.333,12.6,24.6,18.7,1.7,2.7,4.0,13.9,17.4,,0.1,0.2,0.3,.158,,-0.9,1.5,0.6,0.1
